epoch,lr-Adam,step,train/loss_epoch,train/loss_step,val/loss,val/mAP
,0.0001,9,,,,
0,,9,,4.020185470581055,,
,0.0001,19,,,,
0,,19,,2.2810654640197754,,
,0.0001,29,,,,
0,,29,,2.5229668617248535,,
,0.0001,39,,,,
0,,39,,2.2339558601379395,,
,0.0001,49,,,,
0,,49,,1.4441657066345215,,
,0.0001,59,,,,
0,,59,,1.9091719388961792,,
,0.0001,69,,,,
0,,69,,1.348909616470337,,
,0.0001,79,,,,
0,,79,,1.8854256868362427,,
,0.0001,89,,,,
0,,89,,2.3624613285064697,,
,0.0001,99,,,,
0,,99,,2.442173480987549,,
,0.0001,109,,,,
0,,109,,1.2946269512176514,,
,0.0001,119,,,,
0,,119,,1.7922437191009521,,
,0.0001,129,,,,
0,,129,,1.0244321823120117,,
,0.0001,139,,,,
0,,139,,2.316175937652588,,
,0.0001,149,,,,
0,,149,,1.3973051309585571,,
,0.0001,159,,,,
0,,159,,2.915097236633301,,
,0.0001,169,,,,
0,,169,,1.79721200466156,,
,0.0001,179,,,,
0,,179,,1.6913790702819824,,
,0.0001,189,,,,
0,,189,,2.3553507328033447,,
,0.0001,199,,,,
0,,199,,1.206986665725708,,
,0.0001,209,,,,
0,,209,,1.6274218559265137,,
,0.0001,219,,,,
0,,219,,1.856042742729187,,
,0.0001,229,,,,
0,,229,,1.7562578916549683,,
,0.0001,239,,,,
0,,239,,1.2203625440597534,,
,0.0001,249,,,,
0,,249,,1.3697409629821777,,
,0.0001,259,,,,
0,,259,,1.2180300951004028,,
,0.0001,269,,,,
0,,269,,2.1439976692199707,,
,0.0001,279,,,,
0,,279,,1.3722405433654785,,
,0.0001,289,,,,
0,,289,,1.8914679288864136,,
,0.0001,299,,,,
0,,299,,1.6806721687316895,,
,0.0001,309,,,,
0,,309,,1.7037116289138794,,
,0.0001,319,,,,
0,,319,,1.2078044414520264,,
,0.0001,329,,,,
0,,329,,1.6755425930023193,,
,0.0001,339,,,,
0,,339,,1.2065684795379639,,
,0.0001,349,,,,
0,,349,,1.6557934284210205,,
,0.0001,359,,,,
0,,359,,1.156703233718872,,
,0.0001,369,,,,
0,,369,,1.5259039402008057,,
,0.0001,379,,,,
0,,379,,1.4936938285827637,,
,0.0001,389,,,,
0,,389,,1.0631918907165527,,
,0.0001,399,,,,
