epoch,lr-Adam,step,train/loss_epoch,train/loss_step,val/loss,val/mAP
,0.0001,9,,,,
0,,9,,10.728523254394531,,
,0.0001,19,,,,
0,,19,,4.736771106719971,,
,0.0001,29,,,,
0,,29,,2.4835879802703857,,
,0.0001,39,,,,
0,,39,,2.0293474197387695,,
,0.0001,49,,,,
0,,49,,2.209378242492676,,
,0.0001,59,,,,
0,,59,,2.4551897048950195,,
,0.0001,69,,,,
0,,69,,1.8912936449050903,,
,0.0001,79,,,,
0,,79,,1.4312176704406738,,
,0.0001,89,,,,
0,,89,,1.8432483673095703,,
,0.0001,99,,,,
0,,99,,2.09322452545166,,
,0.0001,109,,,,
0,,109,,2.0396885871887207,,
,0.0001,119,,,,
0,,119,,2.042431116104126,,
,0.0001,129,,,,
0,,129,,0.9935778975486755,,
,0.0001,139,,,,
0,,139,,1.4431381225585938,,
,0.0001,149,,,,
0,,149,,1.3692588806152344,,
,0.0001,159,,,,
0,,159,,1.1884156465530396,,
,0.0001,169,,,,
0,,169,,1.2743452787399292,,
,0.0001,179,,,,
0,,179,,1.4940099716186523,,
,0.0001,189,,,,
0,,189,,2.636019468307495,,
,0.0001,199,,,,
0,,199,,1.3738011121749878,,
,0.0001,209,,,,
0,,209,,1.4746381044387817,,
,0.0001,219,,,,
0,,219,,1.4214591979980469,,
,0.0001,229,,,,
0,,229,,2.224818229675293,,
,0.0001,239,,,,
0,,239,,1.5202155113220215,,
,0.0001,249,,,,
0,,249,,2.123471736907959,,
,0.0001,259,,,,
0,,259,,1.1342579126358032,,
,0.0001,269,,,,
0,,269,,2.209698438644409,,
,0.0001,279,,,,
0,,279,,1.2076669931411743,,
,0.0001,289,,,,
0,,289,,1.872695803642273,,
,0.0001,299,,,,
0,,299,,2.2617902755737305,,
,0.0001,309,,,,
0,,309,,1.5029466152191162,,
,0.0001,319,,,,
0,,319,,1.759409785270691,,
,0.0001,329,,,,
0,,329,,1.9551892280578613,,
,0.0001,339,,,,
0,,339,,1.4483267068862915,,
,0.0001,349,,,,
0,,349,,1.29097580909729,,
,0.0001,359,,,,
0,,359,,1.2170358896255493,,
,0.0001,369,,,,
0,,369,,1.3449627161026,,
,0.0001,379,,,,
0,,379,,1.6196513175964355,,
,0.0001,389,,,,
0,,389,,1.8477717638015747,,
,0.0001,399,,,,
0,,399,,1.9396413564682007,,
,0.0001,409,,,,
0,,409,,1.2409052848815918,,
,0.0001,419,,,,
0,,419,,1.5172710418701172,,
,0.0001,429,,,,
0,,429,,1.8538403511047363,,
,0.0001,439,,,,
0,,439,,1.5568318367004395,,
,0.0001,449,,,,
0,,449,,1.5191706418991089,,
,0.0001,459,,,,
0,,459,,1.0588685274124146,,
,0.0001,469,,,,
0,,469,,1.7529608011245728,,
,0.0001,479,,,,
0,,479,,1.0658477544784546,,
,0.0001,489,,,,
0,,489,,2.096466064453125,,
,0.0001,499,,,,
0,,499,,1.9696574211120605,,
,0.0001,509,,,,
0,,509,,1.9017620086669922,,
,0.0001,519,,,,
0,,519,,1.3691538572311401,,
,0.0001,529,,,,
0,,529,,1.3840185403823853,,
,0.0001,539,,,,
0,,539,,2.18926739692688,,
,0.0001,549,,,,
0,,549,,1.4528602361679077,,
,0.0001,559,,,,
0,,559,,1.1436089277267456,,
,0.0001,569,,,,
0,,569,,1.3676549196243286,,
,0.0001,579,,,,
0,,579,,1.177254319190979,,
,0.0001,589,,,,
0,,589,,1.2712812423706055,,
,0.0001,599,,,,
0,,599,,1.4979870319366455,,
,0.0001,609,,,,
0,,609,,1.534921407699585,,
,0.0001,619,,,,
0,,619,,1.4268181324005127,,
,0.0001,629,,,,
0,,629,,1.984628438949585,,
,0.0001,639,,,,
0,,639,,2.1185176372528076,,
,0.0001,649,,,,
0,,649,,0.9805733561515808,,
,0.0001,659,,,,
0,,659,,1.7777512073516846,,
,0.0001,669,,,,
0,,669,,1.6501082181930542,,
,0.0001,679,,,,
0,,679,,1.1766496896743774,,
,0.0001,689,,,,
0,,689,,1.168694257736206,,
,0.0001,699,,,,
0,,699,,1.2936691045761108,,
,0.0001,709,,,,
0,,709,,1.9959726333618164,,
,0.0001,719,,,,
0,,719,,2.0998313426971436,,
0,,721,,,0.0,0.010234900750219822
0,,721,1.838051199913025,,,
