,n_components,umap_n_neighbors,umap_min_dist,umap_metric,min_cluster_size,min_samples,cluster_selection_epsilon,cluster_selection_method,hdbscan_metric,ARI,NMI,Homogeneity,Completeness,V-measure,FMI
47,10,10,0.0,euclidean,20,5.0,0.1,leaf,cosine,0.0069196282436633305,0.0796032121176468,0.056885194809082225,0.13253199590959566,0.0796032121176468,0.1932032305356654
48,10,10,0.0,cosine,5,,0.0,eom,euclidean,0.005559028482103201,0.20761478762890714,0.19409396657087258,0.22316041255868233,0.20761478762890712,0.11719116503548785
49,10,10,0.0,cosine,5,,0.0,eom,cosine,0.0011889239314194962,0.1924049366290607,0.1769281749272827,0.21084890868828612,0.1924049366290607,0.11547177161259384
50,10,10,0.0,cosine,5,,0.0,leaf,euclidean,0.015419269670365263,0.22805071750590347,0.21815444673914808,0.23888751485349205,0.22805071750590347,0.11699973830818473
51,10,10,0.0,cosine,5,,0.0,leaf,cosine,-0.0053724562585298575,0.19439209748920622,0.1807404835934332,0.2102744591576643,0.19439209748920622,0.11765876421364878
52,10,10,0.0,cosine,5,,0.1,eom,euclidean,-0.003323897752616229,0.16529034395015155,0.14593055452071702,0.1905725349149128,0.16529034395015155,0.12583720903125326
53,10,10,0.0,cosine,5,,0.1,eom,cosine,0.006326604898724729,0.09185034623977599,0.054729416491026396,0.2854825589374691,0.09185034623977598,0.2837190808588674
54,10,10,0.0,cosine,5,,0.1,leaf,euclidean,0.0010734081495815246,0.2000266650188804,0.1868713904896804,0.2151744000285805,0.2000266650188804,0.11384154433835046
55,10,10,0.0,cosine,5,,0.1,leaf,cosine,-0.0050833774388859485,0.046127858690975174,0.02913699897289139,0.1106546980159674,0.046127858690975174,0.24371897658935174
56,10,10,0.0,cosine,5,5.0,0.0,eom,euclidean,-0.004579491650609139,0.19810486998846463,0.1828511905323531,0.21613513885161045,0.19810486998846463,0.11675401908830858
57,10,10,0.0,cosine,5,5.0,0.0,eom,cosine,7.463892487107058e-06,0.19457241775718864,0.18170940100058117,0.20939528933475204,0.19457241775718861,0.11336355113832888
58,10,10,0.0,cosine,5,5.0,0.0,leaf,euclidean,0.004105765294986824,0.22282505346441256,0.20754167652659644,0.24053830324644887,0.22282505346441256,0.12462670036795763
59,10,10,0.0,cosine,5,5.0,0.0,leaf,cosine,0.010578825216581557,0.20247591858710706,0.1910415986726455,0.21536612239235767,0.20247591858710706,0.11605972708614667
60,10,10,0.0,cosine,5,5.0,0.1,eom,euclidean,0.010232636345075244,0.1955255750445462,0.17117636835389383,0.2279507243570948,0.1955255750445462,0.14422555283375382
61,10,10,0.0,cosine,5,5.0,0.1,eom,cosine,0.0037845866978493434,0.05917249190130593,0.03565272824883984,0.1738784249147536,0.05917249190130593,0.2758447093820822
62,10,10,0.0,cosine,5,5.0,0.1,leaf,euclidean,0.0075166550592053755,0.23599757035522104,0.22387149468443057,0.2495124997906756,0.23599757035522104,0.1222051856182228
63,10,10,0.0,cosine,5,5.0,0.1,leaf,cosine,-0.0016178335743626347,0.07717415050207535,0.05267786951914055,0.14425623400100154,0.07717415050207535,0.21091515661071158
64,10,10,0.0,cosine,10,,0.0,eom,euclidean,0.005407869511730581,0.11306376670268883,0.0868494535283531,0.16194448128023742,0.11306376670268885,0.16900381516973606
65,10,10,0.0,cosine,10,,0.0,eom,cosine,0.005901123972895056,0.13527078260158984,0.10682793702886506,0.18435519276894258,0.13527078260158984,0.1657574255809992
66,10,10,0.0,cosine,10,,0.0,leaf,euclidean,-0.0037022080566252477,0.1426273776362384,0.11330871360123101,0.19241475350644668,0.1426273776362384,0.16954832407961232
67,10,10,0.0,cosine,10,,0.0,leaf,cosine,-0.006763571670525689,0.12414532890295288,0.10116118919196966,0.16064419401636967,0.12414532890295289,0.15102961647392107
68,10,10,0.0,cosine,10,,0.1,eom,euclidean,0.005445286079721152,0.12337285271264778,0.09835072962031643,0.16547171225731674,0.12337285271264781,0.1606467644780498
69,10,10,0.0,cosine,10,,0.1,eom,cosine,0.010977708932760635,0.08050079373468332,0.05243875050347471,0.1731719132873811,0.08050079373468333,0.2490399293133181
70,10,10,0.0,cosine,10,,0.1,leaf,euclidean,-0.014674594427853049,0.1557371358505249,0.13236783557143925,0.18912719822644558,0.15573713585052493,0.14147833672759316
71,10,10,0.0,cosine,10,,0.1,leaf,cosine,0.0006075874413005317,0.08518215034954892,0.05959933890250042,0.1492450942788058,0.0851821503495489,0.20075208787161147
72,10,10,0.0,cosine,10,5.0,0.0,eom,euclidean,0.009766850449599804,0.16880714834130542,0.14352255389485696,0.2049057101346841,0.16880714834130542,0.14974032086286634
73,10,10,0.0,cosine,10,5.0,0.0,eom,cosine,0.007678374411834458,0.11203242810401126,0.0739200955846625,0.2312752064105456,0.11203242810401128,0.2516970607513258
74,10,10,0.0,cosine,10,5.0,0.0,leaf,euclidean,-0.0069895556644582,0.15570821334434226,0.1395626306558249,0.17607816932075102,0.15570821334434226,0.11493455287421911
75,10,10,0.0,cosine,10,5.0,0.0,leaf,cosine,-0.0032748123812263398,0.17446550188096616,0.15499461870831793,0.19953120267023963,0.17446550188096613,0.1244388064611573
76,10,10,0.0,cosine,10,5.0,0.1,eom,euclidean,-0.006493939232383546,0.13550549519570868,0.11436302488790182,0.16623821204796038,0.13550549519570868,0.1308365640549882
77,10,10,0.0,cosine,10,5.0,0.1,eom,cosine,0.00990307123152585,0.08964718982156147,0.05391470713331458,0.2658256694144639,0.08964718982156147,0.28504403689433944
78,10,10,0.0,cosine,10,5.0,0.1,leaf,euclidean,0.007622192717462341,0.20136467341907988,0.18933165748497477,0.21503101796984989,0.20136467341907985,0.1154913662233696
79,10,10,0.0,cosine,10,5.0,0.1,leaf,cosine,0.008004263871656878,0.07069265524429239,0.04160681664544426,0.2349094722459382,0.07069265524429237,0.28933715104334534
80,10,10,0.0,cosine,20,,0.0,eom,euclidean,0.003606460199938119,0.08947956206826964,0.06124891613199969,0.16598465516695382,0.08947956206826965,0.2172852846295939
81,10,10,0.0,cosine,20,,0.0,eom,cosine,0.0009243162659851614,0.09144664120802243,0.061864296820062,0.17524597270842704,0.09144664120802241,0.22119471274697183
82,10,10,0.0,cosine,20,,0.0,leaf,euclidean,-0.0070269782950503346,0.07387566791676613,0.050967493047582635,0.13418920470533394,0.07387566791676613,0.20127104334294973
83,10,10,0.0,cosine,20,,0.0,leaf,cosine,-0.0015249493738383724,0.08392156674839261,0.059525106251415244,0.14220417753656855,0.08392156674839263,0.1895057684335655
84,10,10,0.0,cosine,20,,0.1,eom,euclidean,0.0,0.0,0.0,1.0,0.0,0.3156290382484226
85,10,10,0.0,cosine,20,,0.1,eom,cosine,0.0,0.0,0.0,1.0,0.0,0.3156290382484226
86,10,10,0.0,cosine,20,,0.1,leaf,euclidean,-0.007492794913448193,0.07235882626642247,0.04740988328977513,0.1527328535872187,0.07235882626642247,0.22816080922354012
87,10,10,0.0,cosine,20,,0.1,leaf,cosine,-0.010533526670286135,0.07809950050821161,0.05385343233661192,0.14205675799780965,0.07809950050821163,0.19765809023059375
88,10,10,0.0,cosine,20,5.0,0.0,eom,euclidean,-0.0019376324098862045,0.0850164305568935,0.060003421540965926,0.14579069957986854,0.0850164305568935,0.19241577572590637
89,10,10,0.0,cosine,20,5.0,0.0,eom,cosine,0.0026763771651375982,0.13583038739676748,0.10870401921989907,0.18099698696198213,0.13583038739676748,0.15740939664415746
90,10,10,0.0,cosine,20,5.0,0.0,leaf,euclidean,-0.0055501285423683,0.11609166083933356,0.09208636265208635,0.157025435265558,0.11609166083933355,0.15447468113953847
91,10,10,0.0,cosine,20,5.0,0.0,leaf,cosine,-0.0093238065440631,0.1266753401234602,0.1066866984461621,0.1558809310841455,0.12667534012346024,0.12934698495251065
92,10,10,0.0,cosine,20,5.0,0.1,eom,euclidean,-0.007725250625237475,0.045946954532594335,0.030880049477717185,0.08972562264514568,0.045946954532594335,0.21448413861949464
93,10,10,0.0,cosine,20,5.0,0.1,eom,cosine,0.0001833089357868798,0.08532571574015392,0.06102483107630307,0.141787250504809,0.0853257157401539,0.18558745580900898
94,10,10,0.0,cosine,20,5.0,0.1,leaf,euclidean,-0.003116460988315171,0.09572255728099352,0.0732060747026171,0.13824283024141473,0.0957225572809935,0.16215458921793505
95,10,10,0.0,cosine,20,5.0,0.1,leaf,cosine,-0.00040364132206564693,0.0722668104756898,0.04666366851044646,0.16012109104237604,0.0722668104756898,0.24333585538563157
96,10,10,0.1,euclidean,5,,0.0,eom,euclidean,0.036685882945562,0.178440160217713,0.14814428298504395,0.2243126618677804,0.17844016021771303,0.17740838901399744
97,10,10,0.1,euclidean,5,,0.0,eom,cosine,0.02985536998209603,0.23427944078084664,0.2135088338307161,0.25952677370339267,0.23427944078084662,0.14716744618029387
98,10,10,0.1,euclidean,5,,0.0,leaf,euclidean,0.009052369210270727,0.2213480248393462,0.1924758040186801,0.2604107942876468,0.22134802483934618,0.15391608487132102
99,10,10,0.1,euclidean,5,,0.0,leaf,cosine,0.016221984397529997,0.22895690268073426,0.197070855371278,0.2731530410324656,0.22895690268073424,0.17057554311790765
100,10,10,0.1,euclidean,5,,0.1,eom,euclidean,0.0194632351239693,0.22858945866041372,0.20615738916308765,0.25649924612114616,0.2285894586604137,0.1428272767557372
101,10,10,0.1,euclidean,5,,0.1,eom,cosine,-0.0073826836082118074,0.0596601330427911,0.041121078749605286,0.10863902099650487,0.0596601330427911,0.19948093011186016
102,10,10,0.1,euclidean,5,,0.1,leaf,euclidean,-0.0011458325894150145,0.23583553216404315,0.20784730815832184,0.2725343607709734,0.23583553216404318,0.15131440199674628
103,10,10,0.1,euclidean,5,,0.1,leaf,cosine,0.00407213318393423,0.07550642987803886,0.04621101506629517,0.2062728319532951,0.07550642987803886,0.2712327372505214
104,10,10,0.1,euclidean,5,5.0,0.0,eom,euclidean,0.024007211452191406,0.21281999348396266,0.18415987582446192,0.25204478795003493,0.21281999348396266,0.15922927355387012
105,10,10,0.1,euclidean,5,5.0,0.0,eom,cosine,0.010460065597021541,0.20499273708748908,0.17741840589730934,0.24271553416892033,0.20499273708748908,0.15377150548777976
106,10,10,0.1,euclidean,5,5.0,0.0,leaf,euclidean,0.018934073289792967,0.25206543840472223,0.22884539992634279,0.280529676170006,0.2520654384047223,0.15429868012661715
107,10,10,0.1,euclidean,5,5.0,0.0,leaf,cosine,0.009949010349615536,0.24737843506082222,0.22779579298757416,0.27064460883113134,0.2473784350608222,0.13812260861791
108,10,10,0.1,euclidean,5,5.0,0.1,eom,euclidean,0.006037889505240998,0.12868846669870238,0.0991597925191235,0.18326176516686,0.1286884666987024,0.17884875040591655
109,10,10,0.1,euclidean,5,5.0,0.1,eom,cosine,-0.00021109527297542022,0.06675998624709038,0.04167661212679384,0.16767854781089866,0.0667599862470904,0.25711401579744064
110,10,10,0.1,euclidean,5,5.0,0.1,leaf,euclidean,0.02988020758751117,0.21423028038270783,0.18817706953132288,0.24865696323498737,0.21423028038270783,0.16187898171571113
111,10,10,0.1,euclidean,5,5.0,0.1,leaf,cosine,0.0018513526265199066,0.07085733484809786,0.04939336723493535,0.12531176498017121,0.07085733484809786,0.20349916123551084
112,10,10,0.1,euclidean,10,,0.0,eom,euclidean,0.024702401206899573,0.13622137777463802,0.10123618578212969,0.2081558618076353,0.13622137777463802,0.20891214663608867
113,10,10,0.1,euclidean,10,,0.0,eom,cosine,0.015590307097630858,0.12876191043264343,0.09635996309447659,0.1939943381692508,0.12876191043264343,0.19175673684884773
114,10,10,0.1,euclidean,10,,0.0,leaf,euclidean,0.034562334341988035,0.16269607636296288,0.12873971448299312,0.2209823333238265,0.1626960763629629,0.19347783487799589
115,10,10,0.1,euclidean,10,,0.0,leaf,cosine,0.013397572693418477,0.12811561204768498,0.08984518856817163,0.2231822346289707,0.12811561204768498,0.22811228476475506
116,10,10,0.1,euclidean,10,,0.1,eom,euclidean,0.003531290591801005,0.07709432218224747,0.05488024371758976,0.129521024517084,0.07709432218224747,0.1924179081387279
117,10,10,0.1,euclidean,10,,0.1,eom,cosine,0.008654733096059854,0.09126550351874642,0.056899297615401405,0.23045852353914303,0.09126550351874642,0.26815580948586193
118,10,10,0.1,euclidean,10,,0.1,leaf,euclidean,0.005425611179633182,0.17953891306738667,0.1372165777367392,0.2596123283882104,0.1795389130673867,0.2014712874953987
119,10,10,0.1,euclidean,10,,0.1,leaf,cosine,0.013617446981054503,0.07946074227357248,0.05206430345190056,0.1677108359503023,0.07946074227357248,0.2485547304818592
120,10,10,0.1,euclidean,10,5.0,0.0,eom,euclidean,0.0055701182224185035,0.11003372346813611,0.08159772272822369,0.1688903391857985,0.11003372346813611,0.1896195416279092
121,10,10,0.1,euclidean,10,5.0,0.0,eom,cosine,0.0337204820084804,0.1675120249000192,0.13542963560999627,0.21951327490878494,0.16751202490001918,0.17937360379581957
122,10,10,0.1,euclidean,10,5.0,0.0,leaf,euclidean,0.041226776947879205,0.21003594362665054,0.17616036225181403,0.2600419221727119,0.21003594362665054,0.19202291423550646
