epoch,lr-Adam,step,train/loss_epoch,train/loss_step,val/loss,val/mAP
3,,1169,,1.379751325,,
,0.0001,1179,,,,
3,,1179,,1.01713717,,
,0.0001,1189,,,,
3,,1189,,1.591794968,,
,0.0001,1199,,,,
3,,1199,,1.12949264,,
,0.0001,1209,,,,
3,,1209,,1.068012595,,
,0.0001,1219,,,,
3,,1219,,1.201081872,,
,0.0001,1229,,,,
3,,1229,,1.410397649,,
,0.0001,1239,,,,
3,,1239,,1.085250139,,
,0.0001,1249,,,,
3,,1249,,0.91193825,,
,0.0001,1259,,,,
3,,1259,,0.998265028,,
,0.0001,1269,,,,
3,,1269,,0.961380422,,
,0.0001,1279,,,,
3,,1279,,1.066518784,,
,0.0001,1289,,,,
3,,1289,,1.2092489,,
,0.0001,1299,,,,
3,,1299,,1.628532052,,
,0.0001,1309,,,,
3,,1309,,1.126717567,,
,0.0001,1319,,,,
3,,1319,,1.525279522,,
,0.0001,1329,,,,
3,,1329,,1.317899227,,
,0.0001,1339,,,,
3,,1339,,1.457281709,,
,0.0001,1349,,,,
3,,1349,,0.957497418,,
,0.0001,1359,,,,
3,,1359,,1.122929811,,
,0.0001,1369,,,,
3,,1369,,1.07372582,,
,0.0001,1379,,,,
3,,1379,,1.095962524,,
,0.0001,1389,,,,
3,,1389,,1.366436481,,
,0.0001,1399,,,,
3,,1399,,1.553674698,,
,0.0001,1409,,,,
3,,1409,,1.173548698,,
,0.0001,1419,,,,
3,,1419,,0.978679895,,
,0.0001,1429,,,,
3,,1429,,1.015944362,,
,0.0001,1439,,,,
3,,1439,,1.420340776,,
3,,1443,,,0,0.084083632
3,,1443,1.225271702,,,
,0.0001,1449,,,,
4,,1449,,1.290884733,,
,0.0001,1459,,,,
4,,1459,,1.45216763,,
,0.0001,1469,,,,
4,,1469,,1.101172686,,
,0.0001,1479,,,,
4,,1479,,0.982902884,,
,0.0001,1489,,,,
4,,1489,,1.4292171,,
,0.0001,1499,,,,
4,,1499,,1.129558206,,
,0.0001,1509,,,,
4,,1509,,0.842025816,,
,0.0001,1519,,,,
4,,1519,,1.643199682,,
,0.0001,1529,,,,
4,,1529,,1.18445766,,
,0.0001,1539,,,,
4,,1539,,1.021812439,,
,0.0001,1549,,,,
4,,1549,,1.154713154,,
,0.0001,1559,,,,
4,,1559,,0.792964518,,
,0.0001,1569,,,,
4,,1569,,1.231251359,,
,0.0001,1579,,,,
4,,1579,,1.168249846,,
,0.0001,1589,,,,
4,,1589,,1.327571869,,
,0.0001,1599,,,,
4,,1599,,1.600301743,,
,0.0001,1609,,,,
4,,1609,,1.377834439,,
,0.0001,1619,,,,
4,,1619,,0.856063724,,
,0.0001,1629,,,,
4,,1629,,1.134387612,,
,0.0001,1639,,,,
4,,1639,,0.925492346,,
,0.0001,1649,,,,
4,,1649,,0.931509018,,
,0.0001,1659,,,,
4,,1659,,1.046931386,,
,0.0001,1669,,,,
4,,1669,,1.083518267,,
,0.0001,1679,,,,
4,,1679,,1.165142536,,
,0.0001,1689,,,,
4,,1689,,1.177556276,,
,0.0001,1699,,,,
4,,1699,,1.097591639,,
,0.0001,1709,,,,
4,,1709,,1.708742857,,
,0.0001,1719,,,,
4,,1719,,0.929425299,,
,0.0001,1729,,,,
4,,1729,,1.368901849,,
,0.0001,1739,,,,
4,,1739,,1.043760896,,
,0.0001,1749,,,,
4,,1749,,1.446642876,,
,0.0001,1759,,,,
4,,1759,,1.238938808,,
,0.0001,1769,,,,
4,,1769,,1.681788206,,
,0.0001,1779,,,,
4,,1779,,1.021623731,,
,0.0001,1789,,,,
4,,1789,,1.137398958,,
,0.0001,1799,,,,
4,,1799,,1.104296088,,
4,,1804,,,0,0.08526358
4,,1804,1.166162491,,,
,5.00E-05,1809,,,,
5,,1809,,1.052747726,,
,5.00E-05,1819,,,,
5,,1819,,1.057585478,,
,5.00E-05,1829,,,,
5,,1829,,1.094027281,,
