,metric,value
0,map,0.12941063940525055
1,map_50,0.2729584276676178
2,map_75,0.1237264946103096
3,map_small,0.0
4,map_medium,0.13157115876674652
5,map_large,0.15061426162719727
6,mar_1,0.06509090960025787
7,mar_10,0.2309090942144394
8,mar_100,0.25781819224357605
9,mar_small,0.0
10,mar_medium,0.25663265585899353
11,mar_large,0.28611111640930176
12,map_per_class,-1.0
13,mar_100_per_class,-1.0
14,classes,1.0
