epoch,step,train_loss,val_loss
0,50,,0.07910601049661636
0,50,0.11559735238552094,
1,101,,0.047512151300907135
1,101,0.059725016355514526,
2,152,,0.040741801261901855
2,152,0.0439143180847168,
3,203,,0.032215747982263565
3,203,0.03648625314235687,
4,254,,0.028825433924794197
4,254,0.03117283806204796,
5,305,,0.025721371173858643
5,305,0.02734346315264702,
6,356,,0.022701743990182877
6,356,0.02459203265607357,
7,407,,0.022075865417718887
7,407,0.022381944581866264,
8,458,,0.019910190254449844
8,458,0.021107198670506477,
9,509,,0.018898341804742813
9,509,0.019464151933789253,
10,560,,0.017884911969304085
10,560,0.01833147183060646,
11,611,,0.017019392922520638
11,611,0.01756775937974453,
12,662,,0.016350431367754936
12,662,0.016850287094712257,
13,713,,0.015534601174294949
13,713,0.015841683372855186,
14,764,,0.014969971030950546
14,764,0.01532104704529047,
15,815,,0.014781470410525799
15,815,0.014786789193749428,
16,866,,0.014287450350821018
16,866,0.014234619215130806,
17,917,,0.013722635805606842
17,917,0.013922136276960373,
18,968,,0.01354359369724989
18,968,0.013634352944791317,
19,1019,,0.013383924961090088
19,1019,0.01311487052589655,
20,1070,,0.013342081569135189
20,1070,0.012669926509261131,
21,1121,,0.012439454905688763
21,1121,0.012450498528778553,
22,1172,,0.012252457439899445
22,1172,0.011984092183411121,
23,1223,,0.012011639773845673
23,1223,0.011692212894558907,
24,1274,,0.011704036965966225
24,1274,0.011453785002231598,
25,1325,,0.012375332415103912
25,1325,0.011543151922523975,
26,1376,,0.011380293406546116
26,1376,0.011274145916104317,
27,1427,,0.011507843621075153
27,1427,0.010810843668878078,
28,1478,,0.011167795397341251
28,1478,0.010593363083899021,
29,1529,,0.011178947985172272
29,1529,0.01036941260099411,
