epoch,lr-Adam,step,train/loss_epoch_epoch,train/loss_epoch_step,train/loss_step,train/mse_epoch,val/loss_step,val/mse_epoch
,0.0001,0,,,,,,
0,,9,,0.1343919336795807,0.1343919336795807,,,
0,,19,,0.1205868124961853,0.1205868124961853,,,
0,,29,,0.1077921986579895,0.1077921986579895,,,
0,,39,,0.0940808579325676,0.0940808579325676,,,
0,,49,,0.08007732033729553,0.08007732033729553,,,
0,,50,,,,,0.08195957541465759,0.08188112825155258
0,,50,0.11524198204278946,,,0.11524198204278946,,
,9.5e-05,51,,,,,,
1,,59,,0.07219785451889038,0.07219785451889038,,,
1,,69,,0.07050544023513794,0.07050544023513794,,,
1,,79,,0.06058339774608612,0.06058339774608612,,,
1,,89,,0.0577201321721077,0.0577201321721077,,,
1,,99,,0.05343067646026611,0.05343067646026611,,,
1,,101,,,,,0.05345366150140762,0.05339599400758743
1,,101,0.06490584462881088,,,0.06490584462881088,,
,9.025e-05,102,,,,,,
2,,109,,0.05425727367401123,0.05425727367401123,,,
2,,119,,0.050429683178663254,0.050429683178663254,,,
2,,129,,0.04405565187335014,0.04405565187335014,,,
2,,139,,0.049588244408369064,0.049588244408369064,,,
2,,149,,0.04361232370138168,0.04361232370138168,,,
2,,152,,,,,0.0423031821846962,0.042256344109773636
2,,152,0.04860697686672211,,,0.04860697686672211,,
,8.573749999999999e-05,153,,,,,,
3,,159,,0.04236292839050293,0.04236292839050293,,,
3,,169,,0.041937440633773804,0.041937440633773804,,,
3,,179,,0.04007987678050995,0.04007987678050995,,,
3,,189,,0.03662712872028351,0.03662712872028351,,,
3,,199,,0.03725510835647583,0.03725510835647583,,,
3,,203,,,,,0.036781057715415955,0.0367371067404747
3,,203,0.04017219692468643,,,0.04017219692468643,,
,8.145062499999998e-05,204,,,,,,
4,,209,,0.03813774883747101,0.03813774883747101,,,
4,,219,,0.03767921030521393,0.03767921030521393,,,
4,,229,,0.033267829567193985,0.033267829567193985,,,
4,,239,,0.03243637830018997,0.03243637830018997,,,
4,,249,,0.032730139791965485,0.032730139791965485,,,
4,,254,,,,,0.03184192627668381,0.031804781407117844
4,,254,0.034896526485681534,,,0.034896526485681534,,
,7.737809374999998e-05,255,,,,,,
5,,259,,0.03073912113904953,0.03073912113904953,,,
5,,269,,0.029822513461112976,0.029822513461112976,,,
5,,279,,0.030048351734876633,0.030048351734876633,,,
5,,289,,0.03146251663565636,0.03146251663565636,,,
5,,299,,0.028534097597002983,0.028534097597002983,,,
5,,305,,,,,0.029301518574357033,0.02926832251250744
5,,305,0.030755650252103806,,,0.030755650252103806,,
,7.350918906249998e-05,306,,,,,,
6,,309,,0.03017890825867653,0.03017890825867653,,,
6,,319,,0.02821335755288601,0.02821335755288601,,,
6,,329,,0.028009828180074692,0.028009828180074692,,,
6,,339,,0.026791121810674667,0.026791121810674667,,,
6,,349,,0.024635499343276024,0.024635499343276024,,,
6,,356,,,,,0.025908732786774635,0.025881389155983925
6,,356,0.028034459799528122,,,0.028034459799528122,,
,6.983372960937497e-05,357,,,,,,
7,,359,,0.02596643939614296,0.02596643939614296,,,
