,metric,value
0,map,0.14205670356750488
1,map_50,0.30526357889175415
2,map_75,0.12346005439758301
3,map_small,0.0
4,map_medium,0.14177721738815308
5,map_large,0.16839537024497986
6,mar_1,0.0658181831240654
7,mar_10,0.25890907645225525
8,mar_100,0.2836363613605499
9,mar_small,0.0
10,mar_medium,0.2719387710094452
11,mar_large,0.3430555462837219
12,map_per_class,-1.0
13,mar_100_per_class,-1.0
14,classes,1.0
